,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,binned
666,75598-5118,1B,Miguel,Miguel Cabrera,Cabrera,6.889473362972862,19.0,2300,PIT@DET,DET,PIT,O,Postponed,,,,C/1B/UTIL,
667,75598-11322,2B/3B,Mike,Mike Moustakas,Moustakas,3.557142802647182,14.0,2300,CIN@MIL,CIN,MIL,,,,,4.0,2B/3B/UTIL,
668,75598-60635,OF,Raimel,Raimel Tapia,Tapia,6.790000152587891,20.0,2300,NYY@TOR,TOR,NYY,,,,,5.0,OF/UTIL,
669,75598-85249,1B,Bobby,Bobby Dalbec,Dalbec,4.945000076293946,20.0,2300,LAA@BOS,BOS,LAA,,,,,0.0,C/1B/UTIL,
670,75598-79156,2B/SS,David,David Fletcher,Fletcher,3.7222222222222223,9.0,2300,LAA@BOS,LAA,BOS,,,,,8.0,2B/SS/UTIL,
671,75598-101787,OF,LaMonte,LaMonte Wade Jr.,Wade Jr.,8.838596277069627,114.0,2300,SF@LAD,SF,LAD,IL,Knee,,,,OF/UTIL,
672,75598-13858,C,Christian,Christian Vazquez,Vazquez,4.862500190734863,16.0,2300,LAA@BOS,BOS,LAA,,,,,0.0,C/1B/UTIL,
673,75598-71217,C,Omar,Omar Narvaez,Narvaez,6.6200002034505205,15.0,2300,CIN@MIL,MIL,CIN,,,,,7.0,C/1B/UTIL,
674,75598-13961,OF,Kevin,Kevin Kiermaier,Kiermaier,6.1000000803094165,19.0,2300,TB@OAK,TB,OAK,,,,,,OF/UTIL,
675,75598-163696,OF,Jack,Jack Suwinski,Suwinski,4.149999936421712,6.0,2300,PIT@DET,PIT,DET,O,Postponed,,,,OF/UTIL,
676,75598-102398,OF,Jarred,Jarred Kelenic,Kelenic,6.51818154074929,22.0,2300,SEA@HOU,SEA,HOU,,,,,8.0,OF/UTIL,
