,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
599,WR,Ben Skowronek (19394811),Ben Skowronek,19394811,WR/FLEX,3000,ARI@LAR 10/03/2021 04:05PM ET,LAR,0.0
600,WR,Jeremiah Haydel (19394813),Jeremiah Haydel,19394813,WR/FLEX,3000,ARI@LAR 10/03/2021 04:05PM ET,LAR,0.0
601,WR,Landen Akers (19394815),Landen Akers,19394815,WR/FLEX,3000,ARI@LAR 10/03/2021 04:05PM ET,LAR,0.0
602,WR,J.J. Koski (19394817),J.J. Koski,19394817,WR/FLEX,3000,ARI@LAR 10/03/2021 04:05PM ET,LAR,0.0
603,TE,Maxx Williams (19395201),Maxx Williams,19395201,TE/FLEX,3000,ARI@LAR 10/03/2021 04:05PM ET,ARI,7.1
604,WR,Steven Sims Jr. (19394727),Steven Sims Jr.,19394727,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,PIT,0.0
605,WR,Cody White (19394761),Cody White,19394761,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,PIT,4.07
606,WR,Mathew Sexton (19394763),Mathew Sexton,19394763,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,PIT,0.0
607,WR,Isaiah McKoy (19394765),Isaiah McKoy,19394765,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,PIT,0.0
608,WR,Tyler Vaughns (19394767),Tyler Vaughns,19394767,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,PIT,0.0
609,WR,Rico Bussey (19394769),Rico Bussey,19394769,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,PIT,0.0
610,WR,Anthony Johnson (19394771),Anthony Johnson,19394771,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,PIT,0.0
611,WR,Tyler Simmons (19394773),Tyler Simmons,19394773,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,PIT,0.0
612,WR,Amari Rodgers (19394775),Amari Rodgers,19394775,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,GB,0.873
613,WR,Malik Taylor (19394777),Malik Taylor,19394777,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,GB,1.017
614,WR,Juwann Winfree (19394779),Juwann Winfree,19394779,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,GB,0.0
615,WR,Chris Blair (19394781),Chris Blair,19394781,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,GB,0.0
616,WR,Equanimeous St. Brown (19394783),Equanimeous St. Brown,19394783,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,GB,0.9
617,WR,Reggie Begelton (19394785),Reggie Begelton,19394785,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,GB,0.0
618,WR,Devin Funchess (19394787),Devin Funchess,19394787,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,GB,0.0
619,WR,Bailey Gaither (19394789),Bailey Gaither,19394789,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,GB,0.0
620,WR,DeAndre Thompkins (19394791),DeAndre Thompkins,19394791,WR/FLEX,3000,PIT@GB 10/03/2021 04:25PM ET,GB,0.0
621,WR,James Proche (19394729),James Proche,19394729,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,BAL,1.3
622,WR,Tylan Wallace (19394731),Tylan Wallace,19394731,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,BAL,0.0
623,WR,Rashod Bateman (19394733),Rashod Bateman,19394733,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,BAL,0.0
624,WR,Miles Boykin (19394735),Miles Boykin,19394735,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,BAL,0.0
625,WR,Devin Gray (19394737),Devin Gray,19394737,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,BAL,0.0
626,WR,Jaylon Moore (19394739),Jaylon Moore,19394739,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,BAL,0.0
627,WR,Binjimen Victor (19394741),Binjimen Victor,19394741,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,BAL,0.0
628,WR,Diontae Spencer (19394743),Diontae Spencer,19394743,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,DEN,0.23
629,WR,Kendall Hinton (19394745),Kendall Hinton,19394745,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,DEN,1.25
630,WR,DeVontres Dukes (19394747),DeVontres Dukes,19394747,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,DEN,0.0
631,WR,Rico Gafford (19394749),Rico Gafford,19394749,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,DEN,0.0
632,WR,De'Mornay Pierson-El (19394751),De'Mornay Pierson-El,19394751,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,DEN,0.0
633,WR,Branden Mack (19394753),Branden Mack,19394753,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,DEN,0.0
634,WR,Tyrie Cleveland (19394755),Tyrie Cleveland,19394755,WR/FLEX,3000,BAL@DEN 10/03/2021 04:25PM ET,DEN,0.0
