player_id,stat_id,name,team,pos,salary,schedule_id,home_moneyline,away_moneyline,home_total,away_total,opp,order,rpos,partner_id
2850104,0,"Sammis Reyes",WAS,TE,4000.00,80287,243,-301,23.75,30.25,KCC,13B,TE,59455
2850286,0,"Carson Williams",LVR,TE,4000.00,80288,-199,167,24,20,DEN,,,97672
2850332,0,"Darece Roberson",SEA,WR,4500.00,80297,-223,185,23.75,18.75,PIT,,,148546
2861518,0,"Tylan Wallace",BAL,WR,4500.00,80293,-147,124,26.75,23.75,LAC,11B,WR,87515
2861519,0,"Ben Mason",NEP,RB,4500.00,80292,156,-186,23.5,27,DAL,,,91431
2861520,0,"Tony Poljan",BAL,TE,4000.00,80293,-147,124,26.75,23.75,LAC,,,69069
2861521,0,"Rashod Bateman",BAL,WR,5000.00,80293,-147,124,26.75,23.75,LAC,8B,WR,85845
2861546,0,"Pooka Williams",CIN,RB,4500.00,80286,159,-190,21.5,25,DET,,,94993
2861547,0,"Pro Wells",CIN,TE,4000.00,80286,159,-190,21.5,25,DET,,,94609
2861548,0,"Evan McPherson",CIN,K,9000.00,80286,159,-190,21.5,25,DET,13B,K,86092
2861549,0,"Riley Lees",CIN,WR,4500.00,80286,159,-190,21.5,25,DET,,,71120
2861550,0,"Chris Evans",CIN,RB,4600.00,80286,159,-190,21.5,25,DET,3B,RB,73130
2861551,0,"Ja'Marr Chase",CIN,WR,7800.00,80286,159,-190,21.5,25,DET,5B,WR,85701
2861572,0,"Demetric Felton",CLE,RB/WR,4600.00,80298,-162,137,25.75,22.75,ARI,3B,RB,70282
2861573,0,"Anthony Schwartz",CLE,WR,4700.00,80298,-162,137,25.75,22.75,ARI,8B,WR,87662
2861601,0,"Pat Freiermuth",PIT,TE,4500.00,80297,-223,185,23.75,18.75,SEA,11B,TE,86244
2861602,0,"Najee Harris",PIT,RB,8500.00,80297,-223,185,23.75,18.75,SEA,2B,RB,90575
2861604,0,"Isaiah McKoy",PIT,WR,4500.00,80297,-223,185,23.75,18.75,SEA,,,95031
2861605,0,"Rico Bussey",PIT,WR,4500.00,80297,-223,185,23.75,18.75,SEA,,,71917
2861631,0,"Dazz Newsome",CHI,WR,4500.00,80296,191,-236,19.25,25.25,GBP,,,93577
2861632,0,"Khalil Herbert",CHI,RB,5500.00,80296,191,-236,19.25,25.25,GBP,2B,RB,72412
2861633,0,"CJ Marable",CHI,RB,4500.00,80296,191,-236,19.25,25.25,GBP,,,68835
2861634,0,"Scooter Harrington",CHI,TE,4000.00,80296,191,-236,19.25,25.25,GBP,,,71673
2861635,0,"Justin Fields",CHI,QB,6400.00,80296,191,-236,19.25,25.25,GBP,1B,QB,91591
2861659,0,"Amon-Ra St. Brown",DET,WR,5200.00,80286,159,-190,21.5,25,CIN,6B,WR,86997
2861661,0,"Javon McKinley",DET,WR,4500.00,80286,159,-190,21.5,25,CIN,,,73116
2861662,0,"Brock Wright",DET,TE,4000.00,80286,159,-190,21.5,25,CIN,,,91046
2861663,0,"Dedrick Mills",DET,RB,4500.00,80286,159,-190,21.5,25,CIN,,,69646
2861664,0,"Jonathan Adams",DET,WR,4500.00,80286,159,-190,21.5,25,CIN,,,89342
2861665,0,"Sage Surratt",DET,WR,4500.00,80286,159,-190,21.5,25,CIN,,,87617
2861666,0,"Jermar Jefferson",DET,RB,4500.00,80286,159,-190,21.5,25,CIN,,,93023
2861689,0,"Kylin Hill",GBP,RB,4700.00,80296,191,-236,19.25,25.25,CHI,4B,RB,91225
2861690,0,"Bailey Gaither",GBP,WR,4500.00,80296,191,-236,19.25,25.25,CHI,,,63919
2861691,0,"Amari Rodgers",GBP,WR,4600.00,80296,191,-236,19.25,25.25,CHI,9B,WR,89970
