,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
46,65396-110352,PF/C,P.J.,P.J. Washington,Washington,,65.0,6800,IND@CHA,CHA,IND,,,,,,PF/C
47,65396-16293,SF/SG,Norman,Norman Powell,Powell,26.4,75.0,6800,SAC@POR,POR,SAC,,,,,,SG/SF
48,65396-23665,SG/SF,Buddy,Buddy Hield,Hield,26.3,71.0,6700,SAC@POR,SAC,POR,,,,,,SG/SF
49,65396-23670,SG/PG,Marcus,Marcus Smart,Smart,28.7,54.0,6500,BOS@NY,BOS,NY,,,,,,PG/SG
50,65396-14503,C,Jonas,Jonas Valanciunas,Valanciunas,34.2,69.0,6500,PHI@NO,NO,PHI,,,,,,C
51,65396-14507,PG,Kemba,Kemba Walker,Walker,29.3,47.0,6500,BOS@NY,NY,BOS,,,,,,PG
52,65396-15542,SG/PG,Spencer,Spencer Dinwiddie,Dinwiddie,34.3,3.0,6500,WAS@TOR,WAS,TOR,,,,,,PG/SG
53,65396-15590,C,Mason,Mason Plumlee,Plumlee,27.3,56.0,6500,IND@CHA,CHA,IND,,,,,,C
54,65396-110357,SF/SG,RJ,RJ Barrett,Barrett,27.2,77.0,6500,BOS@NY,NY,BOS,,,,,,SG/SF
55,65396-23447,C/PF,Richaun,Richaun Holmes,Holmes,32.5,61.0,6500,SAC@POR,SAC,POR,,,,,,PF/C
56,65396-9874,PF/C,Kevin,Kevin Love,Love,18.8,25.0,6400,CLE@MEM,CLE,MEM,,,,,,PF/C
57,65396-58378,C,Jakob,Jakob Poeltl,Poeltl,30.5,70.0,6300,ORL@SA,SA,ORL,,,,,,C
58,65396-15946,SF/PF,Harrison,Harrison Barnes,Barnes,28.5,58.0,6300,SAC@POR,SAC,POR,,,,,,SF/PF
59,65396-68203,C/PF,Chris,Chris Boucher,Boucher,24.2,60.0,6300,WAS@TOR,TOR,WAS,,,,,,PF/C
60,65396-84678,SF,Miles,Miles Bridges,Bridges,32.2,67.0,6300,IND@CHA,CHA,IND,GTD,Knee,,,,SF
61,65396-84708,PF/C,Robert,Robert Williams,Williams,31.7,56.0,6300,BOS@NY,BOS,NY,,,,,,PF/C
62,65396-110347,PF/SF,Keldon,Keldon Johnson,Johnson,28.4,70.0,6300,ORL@SA,SA,ORL,,,,,,SF/PF
63,65396-145337,PG/SG,Tyrese,Tyrese Haliburton,Haliburton,30.7,58.0,6300,SAC@POR,SAC,POR,,,,,,PG/SG
64,65396-58253,PF,Myles,Myles Turner,Turner,30.8,47.0,6200,IND@CHA,IND,CHA,,,,,,PF
65,65396-18393,PG/SG,T.J.,T.J. McConnell,McConnell,27.8,71.0,6200,IND@CHA,IND,CHA,,,,,,PG/SG
