Player,FP,Salary,Value,C/A,Yds,TDs,Ints,Att,Yds,TDs,Rec,Yds,TDs,TGTS
"Alex Armah ",1.0,"$4,600",0.21,"0.00 / 0.00",0.00,0.00,0.00,0.57,2.15,0.02,0.39,3.27,0.02,0.63
"Trinity Benson ",0.9,"$4,800",0.19,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.42,5.30,0.03,0.70
"Kenny Stills ",0.8,"$4,600",0.16,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.30,4.18,0.03,0.63
"Jesper Horsted ",0.0,"$4,100",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"J.P. Holtz ",0.0,"$4,000",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Khadarel Hodge ",0.0,"$4,600",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"David Blough ",0.0,"$6,100",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jake Kumerow ",0.0,"$4,500",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Justin Fields GTD",0.0,"$7,200",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Blake Jarwin GTD",0.0,"$4,100",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Kahale Warring ",0.0,"$4,100",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Artavis Pierce ",0.0,"$4,500",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Will Grier ",0.0,"$6,000",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Ryan Nall ",0.0,"$4,500",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Cooper Rush ",0.0,"$6,100",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Amari Cooper GTD",0.0,"$7,000",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jesse James ",0.0,"$4,200",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Geronimo Allison ",0.0,"$4,600",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Marcus Mariota ",0.0,"$6,100",0,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
