Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
67626-110339,SG/SF,Cam,Cam Reddish,Reddish,19.11052663702714,19,4700,ATL@MEM,ATL,MEM,,,,,,SG/SF
67626-110351,SG,Cody,Cody Martin,Martin,21.605000305175782,20,4700,MIN@CHA,CHA,MIN,,,,,,SG
67626-110352,PF/C,P.J.,P.J. Washington,Washington,18.924999237060547,8,4700,MIN@CHA,CHA,MIN,,,,,,PF/C
67626-18256,PF/SF,Doug,Doug McDermott,McDermott,14.699999491373697,12,4700,BOS@SA,SA,BOS,O,Knee,,,,SF/PF
67626-18338,SF/PF,Royce,Royce O'Neale,O'Neale,22.577777438693577,18,4700,NO@UTA,UTA,NO,GTD,Foot,,,,SF/PF
67626-9673,PG,Goran,Goran Dragic,Dragic,17.460000610351564,5,4700,TOR@IND,TOR,IND,,,,,,PG
67626-40396,PG,Monte,Monte Morris,Morris,21.922222561306423,18,4700,MIL@DEN,DEN,MIL,,,,,,PG
67626-12363,C,Hassan,Hassan Whiteside,Whiteside,19.700000339084202,18,4600,NO@UTA,UTA,NO,,,,,,C
67626-84703,SG/PG,De'Anthony,De'Anthony Melton,Melton,23.766666666666666,15,4600,ATL@MEM,MEM,ATL,GTD,Groin,,,,PG/SG
67626-9475,PG/SG,Derrick,Derrick Rose,Rose,23.876470229204962,17,4600,PHO@NY,NY,PHO,GTD,Ankle,,,,PG/SG
67626-110338,SF,De'Andre,De'Andre Hunter,Hunter,16.5,11,4600,ATL@MEM,ATL,MEM,O,Wrist,,,,SF
67626-16233,SF/SG,Josh,Josh Richardson,Richardson,17.092857360839844,14,4600,BOS@SA,BOS,SA,O,Illness,,,,SG/SF
67626-9637,SF/PF,Danilo,Danilo Gallinari,Gallinari,16.012500762939453,16,4600,ATL@MEM,ATL,MEM,,,,,,SF/PF
67626-9660,C,Dwight,Dwight Howard,Howard,14.811111450195312,18,4600,SAC@LAL,LAL,SAC,,,,,,C
67626-9666,PF,Thaddeus,Thaddeus Young,Young,19.985713413783483,14,4600,BOS@SA,SA,BOS,,,,,,PF
67626-23120,SF/PF,T.J.,T.J. Warren,Warren,22.075000762939453,4,4500,TOR@IND,IND,TOR,O,Foot,,,,SF/PF
67626-58576,C/PF,Kevon,Kevon Looney,Looney,18.716666327582466,18,4500,POR@GS,GS,POR,,,,,,PF/C
67626-84702,SG/SF,Lonnie,Lonnie Walker,Walker,20.141176111557904,17,4500,BOS@SA,SA,BOS,,,,,,SG/SF
67626-157834,PG,Bones,Bones Hyland,Hyland,14.07857186453683,14,4400,MIL@DEN,DEN,MIL,GTD,Ankle,,,,PG
67626-58519,SG,Gary,Gary Payton II,Payton II,15.141176111557904,17,4400,POR@GS,GS,POR,,,,,,SG
67626-110336,PF,Chuma,Chuma Okeke,Okeke,15.5,13,4400,CHI@ORL,ORL,CHI,,,,,,PF
67626-9577,PF/SF,Rudy,Rudy Gay,Gay,17.325000762939453,4,4400,NO@UTA,UTA,NO,,,,,,SF/PF
67626-110995,C,Naz,Naz Reid,Reid,17.756250381469727,16,4400,MIN@CHA,MIN,CHA,,,,,,C
67626-80816,SG,Malik,Malik Monk,Monk,16.889999389648438,20,4400,SAC@LAL,LAL,SAC,,,,,,SG
67626-59318,SG/SF,Joe,Joe Ingles,Ingles,16.327777438693577,18,4400,NO@UTA,UTA,NO,,,,,,SG/SF
67626-101329,SG/PG,Kendrick,Kendrick Nunn,Nunn,23.85,60,4400,SAC@LAL,LAL,SAC,O,Knee,,,,PG/SG
67626-117779,SF/PF,Juan,Juan Toscano-Anderson,Toscano-Anderson,13.170587876263786,17,4300,POR@GS,GS,POR,,,,,,SF/PF
67626-110318,PF,Grant,Grant Williams,Williams,14.621051989103618,19,4300,BOS@SA,BOS,SA,,,,,,PF
67626-110326,PG/SG,Coby,Coby White,White,7.5,6,4300,CHI@ORL,CHI,ORL,,,,,,PG/SG
67626-115612,SF/SG,Kelan,Kelan Martin,Martin,13.153846153846153,13,4300,TOR@IND,IND,TOR,,,,,,SG/SF
67626-66064,SF/SG,Malik,Malik Beasley,Beasley,18.438888549804688,18,4200,MIN@CHA,MIN,CHA,,,,,,SG/SF
67626-16405,SG/SF,Terrence,Terrence Ross,Ross,16.672222561306423,18,4200,CHI@ORL,ORL,CHI,GTD,Back,,,,SG/SF
67626-15405,PF/C,JaMychal,JaMychal Green,Green,13.5,18,4200,MIL@DEN,DEN,MIL,,,,,,PF/C
67626-12368,PF,Nemanja,Nemanja Bjelica,Bjelica,16.066667344835068,18,4200,POR@GS,GS,POR,,,,,,PF
67626-157812,PG,Davion,Davion Mitchell,Mitchell,19.42105263157895,19,4200,SAC@LAL,SAC,LAL,,,,,,PG
67626-145547,PG,Facundo,Facundo Campazzo,Campazzo,12.452940996955423,17,4200,MIL@DEN,DEN,MIL,,,,,,PG
67626-157848,PF,Herbert,Herbert Jones,Jones,16.96470552332261,17,4200,NO@UTA,NO,UTA,,,,,,PF
67626-58081,PG,Tyus,Tyus Jones,Jones,14.82222154405382,18,4200,ATL@MEM,MEM,ATL,,,,,,PG
67626-15592,SG/PG,Austin,Austin Rivers,Rivers,8.393750190734863,16,4200,MIL@DEN,DEN,MIL,,,,,,PG/SG
67626-84714,PF,Moritz,Moritz Wagner,Wagner,9.416666666666666,18,4200,CHI@ORL,ORL,CHI,,,,,,PF
67626-9455,PG,Rajon,Rajon Rondo,Rondo,13.084615854116587,13,4200,SAC@LAL,LAL,SAC,,,,,,PG
67626-110343,SF,Nassir,Nassir Little,Little,19.694737484580592,19,4200,POR@GS,POR,GS,,,,,,SF
67626-9538,PF,Trevor,Trevor Ariza,Ariza,21.232353659237134,34,4200,SAC@LAL,LAL,SAC,O,Ankle,,,,PF
67626-66968,SG/SF,Derrick,Derrick Jones,Jones,16.226666259765626,15,4200,CHI@ORL,CHI,ORL,,,,,,SG/SF
67626-145347,C,James,James Wiseman,Wiseman,21.51794903094952,39,4200,POR@GS,GS,POR,O,Knee,,,,C
67626-145539,SF/PF,Deni,Deni Avdija,Avdija,18.38333299424913,18,4100,WAS@OKC,WAS,OKC,,,,,,SF/PF
67626-157843,SF,Ziaire,Ziaire Williams,Williams,9.287500381469727,16,4100,ATL@MEM,MEM,ATL,,,,,,SF
67626-157904,SF,Jonathan,Jonathan Kuminga,Kuminga,6.641666412353516,12,4100,POR@GS,GS,POR,,,,,,SF
67626-145319,PF,Jaden,Jaden McDaniels,McDaniels,16.655554877387154,18,4100,MIN@CHA,MIN,CHA,,,,,,PF
67626-80823,PF/C,Tony,Tony Bradley,Bradley,10.84375,16,4100,CHI@ORL,CHI,ORL,,,,,,PF/C
67626-145339,PF,Obi,Obi Toppin,Toppin,16.583333333333332,18,4100,PHO@NY,NY,PHO,,,,,,PF
67626-145348,SG/PG,Immanuel,Immanuel Quickley,Quickley,15.36111111111111,18,4100,PHO@NY,NY,PHO,,,,,,PG/SG
67626-12334,SG,Avery,Avery Bradley,Bradley,11.352631418328537,19,4000,SAC@LAL,LAL,SAC,,,,,,SG
67626-14516,C,Enes,Enes Kanter,Kanter,11.725000381469727,8,4000,BOS@SA,BOS,SA,,,,,,C
67626-16604,SF/SG,Justin,Justin Holiday,Holiday,16.889999389648438,20,4000,TOR@IND,IND,TOR,,,,,,SG/SF
67626-84719,PG,Aaron,Aaron Holiday,Holiday,12.161110772026909,18,4000,WAS@OKC,WAS,OKC,,,,,,PG
67626-15628,SF/PF,Otto,Otto Porter,Porter,16.662500381469727,16,4000,POR@GS,GS,POR,,,,,,SF/PF
67626-9561,C,DeAndre,DeAndre Jordan,Jordan,16.158824247472428,17,4000,SAC@LAL,LAL,SAC,,,,,,C
67626-18376,SG,Damion,Damion Lee,Lee,14.506667073567709,15,4000,POR@GS,GS,POR,O,Personal,,,,SG
67626-9703,PG,George,George Hill,Hill,17.799999660915798,18,4000,MIL@DEN,MIL,DEN,,,,,,PG
67626-112709,SG/SF,Javonte,Javonte Green,Green,14.621051989103618,19,3900,CHI@ORL,CHI,ORL,,,,,,SG/SF
67626-157821,PF,Dalano,Dalano Banton,Banton,10.9947365208676,19,3900,TOR@IND,TOR,IND,,,,,,PF
67626-63127,PF/C,Willy,Willy Hernangomez,Hernangomez,17.150000254313152,6,3900,NO@UTA,NO,UTA,,,,,,PF/C
67626-157849,SG,Ayo,Ayo Dosunmu,Dosunmu,10.850000169542101,18,3900,CHI@ORL,CHI,ORL,,,,,,SG
67626-14501,C/PF,Tristan,Tristan Thompson,Thompson,13.030768761268028,13,3900,SAC@LAL,SAC,LAL,,,,,,PF/C
67626-15559,SG/SF,Jeremy,Jeremy Lamb,Lamb,14.393332926432292,15,3900,TOR@IND,IND,TOR,,,,,,SG/SF
67626-14543,SF,Davis,Davis Bertans,Bertans,8.600000381469727,8,3900,WAS@OKC,WAS,OKC,,,,,,SF
67626-84688,SF,Keita,Keita Bates-Diop,Bates-Diop,9.223077040452223,13,3900,BOS@SA,SA,BOS,,,,,,SF
67626-84701,C,Chimezie,Chimezie Metu,Metu,19.924999237060547,8,3900,SAC@LAL,SAC,LAL,,,,,,C
67626-110316,SF,Cameron,Cameron Johnson,Johnson,16.516665988498264,18,3900,PHO@NY,PHO,NY,,,,,,SF
67626-110359,C,Goga,Goga Bitadze,Bitadze,9.735714503696986,14,3900,TOR@IND,IND,TOR,,,,,,C
67626-20277,SG,Torrey,Torrey Craig,Craig,14.055000305175781,20,3900,TOR@IND,IND,TOR,,,,,,SG
